Gmt time,Open,High,Low,Close,Volume
28.03.2017 00:00:00.000,1.08613,1.08729,1.07991,1.08167,174913.7969
29.03.2017 00:00:00.000,1.08167,1.08269,1.07403,1.07588,173213.375
30.03.2017 00:00:00.000,1.07588,1.07683,1.06724,1.06879,166713.5
31.03.2017 00:00:00.000,1.06881,1.07020,1.06522,1.06561,185265.9219
02.04.2017 00:00:00.000,1.06666,1.06741,1.06590,1.06697,8386.2197
03.04.2017 00:00:00.000,1.06697,1.06813,1.06426,1.06701,170208.7656
04.04.2017 00:00:00.000,1.06701,1.06857,1.06359,1.06782,170423.0938
05.04.2017 00:00:00.000,1.06783,1.06894,1.06360,1.06720,193692.2969
06.04.2017 00:00:00.000,1.06719,1.06843,1.06294,1.06443,177556.9063
07.04.2017 00:00:00.000,1.06441,1.06674,1.05809,1.05919,193896.7031
09.04.2017 00:00:00.000,1.05894,1.05903,1.05738,1.05808,10151.2598
10.04.2017 00:00:00.000,1.05809,1.06069,1.05700,1.05976,141490.5781
11.04.2017 00:00:00.000,1.05976,1.06303,1.05789,1.06105,154522.3438
12.04.2017 00:00:00.000,1.06103,1.06753,1.05891,1.06704,175338.5938
13.04.2017 00:00:00.000,1.06703,1.06778,1.06095,1.06155,164403.9375
14.04.2017 00:00:00.000,1.06155,1.06301,1.06065,1.06148,56875.8789
16.04.2017 00:00:00.000,1.06215,1.06215,1.06035,1.06102,14671.3496
17.04.2017 00:00:00.000,1.06100,1.06706,1.06091,1.06437,97911.2422
18.04.2017 00:00:00.000,1.06437,1.07363,1.06377,1.07279,177918.4688
19.04.2017 00:00:00.000,1.07278,1.07372,1.07001,1.07149,158386.8906
20.04.2017 00:00:00.000,1.07148,1.07777,1.07075,1.07146,162678.4375
21.04.2017 00:00:00.000,1.07144,1.07381,1.06826,1.07298,146192.3281
23.04.2017 00:00:00.000,1.09230,1.09237,1.08651,1.08737,23434.4199
24.04.2017 00:00:00.000,1.08737,1.08777,1.08213,1.08654,201854.4063
25.04.2017 00:00:00.000,1.08654,1.09501,1.08517,1.09280,177695.4531
26.04.2017 00:00:00.000,1.09282,1.09510,1.08560,1.09087,190190.2188
27.04.2017 00:00:00.000,1.09088,1.09331,1.08520,1.08655,179609.4531
28.04.2017 00:00:00.000,1.08656,1.09478,1.08573,1.08964,166192.3438
